id,timestamp,type,lat,lon,duration,nearest_sensor_id,dist_km
16917059,2017-01-01 00:24:00,1183-Trfc Collision-Unkn Inj,37.32351,-121.940596,3.0,400951,0.18238384295211182
16917060,2017-01-01 00:23:00,1183-Trfc Collision-Unkn Inj,37.2916,-121.93686,55.0,400298,0.1953035458203846
16917069,2017-01-01 00:36:00,1125-Traffic Hazard,37.335853,-122.058728,6.0,407331,0.06385780895925605
16917120,2017-01-01 01:14:00,1179-Trfc Collision-1141 Enrt,37.348629,-121.860378,75.0,400160,0.03522217327296211
16917133,2017-01-01 01:29:00,1179-Trfc Collision-1141 Enrt,37.38747,-121.983397,18.0,402366,0.362100732042456
16917172,2017-01-01 02:00:00,1183-Trfc Collision-Unkn Inj,37.347498,-121.840876,30.0,407165,0.6303948779685937
16917565,2017-01-01 08:44:00,1182-Trfc Collision-No Inj,37.273074,-121.946715,60.0,400436,0.1580514106644273
16917594,2017-01-01 09:09:00,1125-Traffic Hazard,37.410833,-122.075806,15.0,401937,0.12633657991639577
16917797,2017-01-01 12:29:00,1125-Traffic Hazard,37.328879,-121.870253,6.0,403402,0.06280383531221906
16917826,2017-01-01 12:53:00,1125-Traffic Hazard,37.321875,-121.89929,0.0,413877,0.04870712379162396
16917827,2017-01-01 12:48:00,1183-Trfc Collision-Unkn Inj,37.325669,-122.005172,11.0,400560,0.26943203109654634
16917878,2017-01-01 13:32:00,1125-Traffic Hazard,37.255231,-121.87777,9.0,400690,0.10591156772467182
16917994,2017-01-01 15:53:00,1125-Traffic Hazard,37.374689,-121.932211,3.0,400760,0.12849452243904846
16918006,2017-01-01 15:54:00,1125A-Animal Hazard,37.318826,-121.901998,3.0,402067,0.3900352679062979
16918021,2017-01-01 16:05:00,1125-Traffic Hazard,37.364009,-121.843453,6.0,407204,0.2953985922849724
16918066,2017-01-01 16:35:00,1182-Trfc Collision-No Inj,37.328643,-121.8703,34.0,403402,0.05571547670956487
16918080,2017-01-01 16:47:00,FIRE-Report of Fire,37.303185,-121.87808,1.0,400837,0.01937641638701232
16918082,2017-01-01 16:44:00,FIRE-Report of Fire,37.336563,-121.857256,78.0,401655,0.2135317475637591
16918089,2017-01-01 16:51:00,1183-Trfc Collision-Unkn Inj,37.338215,-121.854041,1.0,401403,0.06019158589980744
16918153,2017-01-01 17:34:00,1183-Trfc Collision-Unkn Inj,37.325168,-121.886239,59.0,401811,0.259348002276709
16918324,2017-01-01 19:36:00,CFIRE-Car Fire,37.321875,-121.89929,66.0,413877,0.04870712379162396
16918331,2017-01-01 19:42:00,1125-Traffic Hazard,37.274689,-121.863369,45.0,400457,0.232484458706229
16918332,2017-01-01 19:41:00,FIRE-Report of Fire,37.303185,-121.87808,1.0,400837,0.01937641638701232
16918412,2017-01-01 20:51:00,1182-Trfc Collision-No Inj,37.41987,-121.882108,10.0,407151,0.0966953359057557
16918458,2017-01-01 21:24:00,1182-Trfc Collision-No Inj,37.390098,-121.991977,87.0,400794,0.19635071717979183
16918502,2017-01-01 22:21:00,1125-Traffic Hazard,37.29893,-121.874966,3.0,400654,0.18593533762312336
16918642,2017-01-02 01:55:00,1179-Trfc Collision-1141 Enrt,37.332382,-122.055824,18.0,407344,0.1596599089627438
16918657,2017-01-02 02:33:00,1183-Trfc Collision-Unkn Inj,37.390456,-121.869559,66.0,407155,0.14828943623210009
16918658,2017-01-02 02:32:00,1183-Trfc Collision-Unkn Inj,37.364009,-121.843453,8.0,407204,0.2953985922849724
16918680,2017-01-02 03:47:00,FIRE-Report of Fire,37.362584,-121.842607,23.0,407202,0.2366620480982067
16918836,2017-01-02 07:39:00,1182-Trfc Collision-No Inj,37.408367,-122.068737,43.0,407332,0.1490204248312152
16918971,2017-01-02 09:36:00,1125-Traffic Hazard,37.317935,-121.980482,32.0,400414,0.3530918549185671
16918991,2017-01-02 09:49:00,1183-Trfc Collision-Unkn Inj,37.386661,-122.058806,47.0,407325,1.0833356616107566
16919019,2017-01-02 10:06:00,1125-Traffic Hazard,37.333542,-122.072739,0.0,401845,1.347817000648971
16919028,2017-01-02 10:12:00,1183-Trfc Collision-Unkn Inj,37.328677,-122.052233,480.0,404435,0.27759735212332326
16919065,2017-01-02 10:37:00,1125-Traffic Hazard,37.2916,-121.93686,65.0,400298,0.1953035458203846
16919217,2017-01-02 12:02:00,1182-Trfc Collision-No Inj,37.328879,-121.870253,24.0,403402,0.06280383531221906
16919227,2017-01-02 12:10:00,1183-Trfc Collision-Unkn Inj,37.42093,-122.09254,48.0,401507,1.7093207484875714
16919334,2017-01-02 13:04:00,1125-Traffic Hazard,37.333542,-122.072739,50.0,401845,1.347817000648971
16919354,2017-01-02 13:16:00,1183-Trfc Collision-Unkn Inj,37.250366,-121.926571,38.0,400772,0.1839303493961189
16919419,2017-01-02 13:42:00,1125-Traffic Hazard,37.332887,-122.054068,13.0,407344,0.16849189415781407
16919542,2017-01-02 16:32:00,1125-Traffic Hazard,37.337855,-122.059774,2.0,407373,0.02587157368590928
16919573,2017-01-02 16:45:00,1182-Trfc Collision-No Inj,37.2916,-121.93686,251.0,400298,0.1953035458203846
16919669,2017-01-02 17:36:00,1125-Traffic Hazard,37.388346,-121.867271,3.0,407155,0.49230613584808364
16919680,2017-01-02 17:42:00,1125-Traffic Hazard,37.392278,-121.999993,22.0,400790,0.21631596157558222
16919690,2017-01-02 17:45:00,1125-Traffic Hazard,37.362767,-121.887874,14.0,400109,0.17240501276104786
